id,4301002@計算機概論@1@1,4301004@邏輯設計實驗@1@1,4301005@邏輯設計@1@1,4301888@學系服務學習@1@1,4301001@線性代數@2@1,4301003@程式設計@2@1,4301003@程式設計@2@2,4301006@程式設計實習@2@1,4301006@程式設計實習@2@2,4301006@程式設計實習@2@3,4301006@程式設計實習@2@4,4301888@學系服務學習@2@1,4302001@電路學（一）@1@1,4302002@電子學（一）@1@1,4302002@電子學（一）@1@2,4302003@電工實驗（一）@1@1,4302004@微分方程@1@1,4302005@資料結構@1@1,4302005@資料結構@1@2,4302009@FPGA數位設計實驗@1@1,4302018@數位系統設計@1@1,4302005@資料結構@2@1,4302010@訊號與系統@2@1,4302010@訊號與系統@2@2,4302011@電路學（二）@2@1,4302012@電子學（二）@2@1,4302012@電子學（二）@2@2,4302013@電工實驗（二）@2@1,4302015@機率@2@1,4302016@計算機組織@2@1,4302016@計算機組織@2@2,4302017@電磁學（一）@2@1,4302017@電磁學（一）@2@2,4302020@通訊工程導論@2@1
404430002,68,78,62,NaN,-1,71,NaN,NaN,NaN,66,NaN,81,61,28,NaN,80,60,67,NaN,95,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430003,95,93,78,80,75,NaN,85,NaN,NaN,NaN,89,NaN,92,68,NaN,93,72,91,NaN,94,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430004,89,84,60,NaN,51,NaN,76,NaN,89,NaN,NaN,81,66,NaN,NaN,74,47,74,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430005,79,92,79,80,83,NaN,65,NaN,86,NaN,NaN,NaN,90,83,NaN,91,71,76,NaN,93,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430006,13,18,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,0,NaN,72,48,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404430007,51,92,47,80,14,NaN,38,NaN,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404430008,71,66,61,NaN,-1,NaN,71,NaN,88,NaN,NaN,82,79,60,NaN,90,62,NaN,71,91,71,NaN,NaN,-1,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,-1
404430009,72,92,64,80,81,NaN,75,NaN,NaN,NaN,86,NaN,69,65,NaN,86,82,69,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430010,61,69,52,NaN,48,NaN,50,NaN,82,NaN,NaN,60,NaN,NaN,81,84,16,NaN,NaN,82,NaN,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1
404430011,83,79,71,80,61,NaN,79,NaN,NaN,NaN,81,NaN,75,21,NaN,77,8,90,NaN,92,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430012,80,92,79,NaN,43,82,NaN,NaN,NaN,72,NaN,81,82,54,NaN,74,70,NaN,72,92,28,NaN,NaN,-1,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430013,66,91,84,80,82,NaN,79,NaN,87,NaN,NaN,NaN,96,78,NaN,94,91,75,NaN,95,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430014,72,82,60,NaN,73,NaN,70,NaN,NaN,NaN,84,65,60,43,NaN,75,51,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430015,82,82,67,85,63,74,NaN,67,NaN,NaN,NaN,NaN,79,28,NaN,82,60,NaN,73,93,61,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430016,36,71,61,NaN,72,NaN,-1,26,NaN,NaN,-1,80,62,6,NaN,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430017,79,79,49,80,60,NaN,69,NaN,NaN,NaN,93,NaN,54,29,NaN,85,53,64,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430018,59,80,60,NaN,71,65,NaN,34,NaN,NaN,NaN,82,75,16,NaN,90,60,69,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,-1,NaN,NaN,-1,-1
404430019,92,93,86,80,80,84,NaN,73,NaN,NaN,NaN,NaN,98,72,NaN,94,83,NaN,67,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430020,67,84,73,NaN,77,NaN,72,NaN,89,NaN,NaN,82,82,68,NaN,92,83,70,NaN,93,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430021,60,87,67,85,61,NaN,66,NaN,NaN,NaN,91,NaN,70,46,NaN,82,65,60,NaN,91,41,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430023,56,82,64,85,62,NaN,69,NaN,88,NaN,NaN,NaN,69,NaN,60,80,63,NaN,60,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430024,10,72,45,NaN,67,49,-1,37,NaN,NaN,-1,82,49,1,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430025,72,87,88,85,85,79,NaN,66,NaN,NaN,NaN,NaN,90,44,NaN,91,83,NaN,66,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430026,38,82,63,NaN,-1,NaN,65,NaN,NaN,NaN,68,82,53,18,NaN,75,44,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430027,63,82,64,80,70,NaN,75,NaN,84,NaN,NaN,NaN,81,54,NaN,81,73,66,NaN,95,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430028,71,82,66,NaN,-1,NaN,67,NaN,NaN,NaN,88,64,72,22,NaN,81,60,41,NaN,89,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1
404430029,73,79,71,80,60,74,NaN,62,NaN,NaN,NaN,NaN,73,53,NaN,87,66,42,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1
404430030,92,93,100,NaN,73,70,NaN,68,NaN,NaN,NaN,84,100,84,NaN,96,93,NaN,87,95,96,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430031,83,87,79,80,71,NaN,76,NaN,NaN,NaN,89,NaN,87,63,NaN,95,80,NaN,74,95,72,NaN,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430033,51,40,7,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404430034,72,88,66,NaN,63,NaN,68,NaN,NaN,NaN,90,80,70,48,NaN,85,61,64,NaN,93,36,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430035,75,82,76,80,81,NaN,77,NaN,89,NaN,NaN,NaN,92,66,NaN,78,69,71,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430036,68,79,54,NaN,29,NaN,67,NaN,82,NaN,NaN,79,33,13,NaN,87,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430037,45,72,33,80,61,49,-1,36,NaN,NaN,-1,NaN,62,NaN,62,73,44,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430038,53,83,NaN,NaN,-1,NaN,61,NaN,75,NaN,NaN,82,61,NaN,61,87,33,NaN,43,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430040,63,77,62,NaN,-1,NaN,74,NaN,NaN,NaN,90,81,60,NaN,65,75,60,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430042,39,76,NaN,NaN,60,62,NaN,56,NaN,NaN,NaN,84,61,NaN,65,74,60,NaN,47,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430043,66,89,62,80,69,NaN,62,NaN,89,NaN,NaN,NaN,79,52,NaN,92,66,51,NaN,93,69,-1,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430044,88,91,61,NaN,69,71,NaN,NaN,NaN,68,NaN,81,83,60,NaN,85,76,NaN,67,90,50,NaN,-1,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430045,67,68,78,75,62,69,NaN,61,NaN,NaN,NaN,NaN,67,NaN,42,79,71,NaN,NaN,90,49,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1
404430046,94,90,97,NaN,90,NaN,89,NaN,NaN,NaN,92,85,93,93,NaN,92,84,NaN,77,94,85,NaN,-1,NaN,-1,NaN,-1,-1,-1,-1,NaN,-1,NaN,-1
404430047,75,82,73,75,48,NaN,71,NaN,88,NaN,NaN,NaN,62,48,NaN,76,62,63,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430048,41,75,NaN,NaN,60,NaN,64,NaN,72,NaN,NaN,80,66,19,NaN,76,51,NaN,32,NaN,NaN,-1,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430049,77,92,61,80,73,85,NaN,NaN,NaN,84,NaN,NaN,77,52,NaN,92,73,86,NaN,95,NaN,NaN,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430050,36,69,64,NaN,-1,57,-1,35,NaN,NaN,-1,75,73,37,NaN,91,52,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,-1,NaN,-1
404430051,74,73,64,80,73,70,NaN,62,NaN,NaN,NaN,NaN,68,33,NaN,80,61,NaN,50,93,NaN,-1,-1,NaN,-1,-1,NaN,-1,-1,-1,NaN,-1,NaN,-1
404430052,60,68,63,NaN,60,63,NaN,NaN,NaN,-1,NaN,82,76,NaN,30,81,37,12,NaN,95,24,-1,NaN,-1,-1,NaN,-1,-1,-1,-1,NaN,NaN,-1,-1
404430055,75,83,88,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
404430056,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,96,NaN,95,97,NaN,NaN,95,83,-1,-1,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,-1
